code_name,SMILES,Br_Partial charge,Br_Dipole moment,Br_Electrophil.,Br_Nucleophil.,Br_Radical attack,Br_SASA,Br_Buried volume,Br_H bond with H2O,Br_s proportion,Br_p proportion,Br_d proportion,Br_Coord. numbers,Br_Polariz. alpha,Br_FOD,Br_Dispersion,Br_Pyramidalization,Br_Pyramidaliz. volume,HOMO-LUMO gap,HOMO,LUMO,IP,EA,Dipole module,Total charge,Global SASA,G solv. in H2O,G of H-bonds H2O,Fermi-level,Total polariz. alpha,Total FOD,Hardness,Softness,Electronegativity,Electrophil. idx,Nucleophilicity idx,Second IP,Second EA,S0-T1 gap,MolLogP
mol_18,O=C(Nc1ccc(Br)cc1)c1ccccc1,0.1234,0.0246,0.1105,0.2611,0.1858,78.8414,0.2352,-0.004,1.95,5.17,0.025,1.064,22.214,0.0279,18.4529,2,16.1301,9.0835,-9.1548,-0.0713,7.9728,0.5299,4.6151,0,432.6937,-9.5886,-1.4545,-9.0984,171.5593,0.1983,7.4429,0.1344,4.2514,1.2142,0.9962,12.0792,5.9124,77.1175,3.7014
mol_19,Cn1c(=O)c(Br)c(N)n(Cc2ccccc2)c1=O,0.1805,0.1486,0.0838,0.2187,0.1512,68.1312,0.2825,-0.004,1.948,5.138,0.032,1.083,22.172,0.0244,19.8255,1.9888,13.0774,9.394,-8.8293,0.5647,8.0695,0.0349,6.5071,0,442.3809,-15.1485,-3.1197,-8.7807,181.6293,0.1436,8.0346,0.1245,4.0522,1.0219,1.0936,12.2958,5.4379,87.0549,0.94
mol_20,O=C1Nc2c(Br)cc(F)cc2C1=O,0.1684,0.0708,0.2253,0.4333,0.3293,73.3413,0.2539,-0.004,1.95,5.162,0.017,1.055,22.14,0.0439,18.9841,2,16.1633,7.8727,-9.5241,-1.6514,9.1411,1.991,4.6049,0,342.3382,-6.8983,-2.7989,-10.5191,118.2879,0.5672,7.1501,0.1399,5.566,2.1664,0.6611,14.0631,6.2478,43.5207,1.723
mol_21,OB(O)c1ccc(Br)cc1,0.1225,0.0195,0.1347,0.2677,0.2016,78.7314,0.2354,-0.004,1.951,5.201,0.051,1.066,22.216,0.0216,18.2304,1.9999,16.1232,10.5642,-9.7241,0.8401,8.6716,-0.6656,4.0417,0,323.461,-13.2385,-8.0387,-8.8002,107.0278,0.0795,9.3372,0.1071,4.003,0.8581,1.1625,13.9127,3.553,94.0607,0.1289
mol_22,CC1(c2ccccc2Br)NC(=O)NC1=O,0.1821,0.2546,0.1014,0.2102,0.1558,51.3509,0.3846,-0.003,1.951,5.149,0.035,1.081,22.197,0.0226,21.9784,1.9997,16.2376,10.5614,-9.9279,0.6335,8.7005,-0.0552,4.0656,0,380.7089,-13.197,-4.6201,-9.1555,149.7972,0.1048,8.7557,0.1142,4.3227,1.0671,1.0325,13.2738,4.9274,96.3375,1.5037
mol_23,Cc1cc(Br)ccc1O,0.1138,0.0291,0.1001,0.1881,0.1441,78.8314,0.2351,-0.004,1.952,5.206,0.035,1.065,22.222,0.0167,18.3308,2,16.1266,10.5668,-9.2608,1.306,8.3558,-1.1743,2.7529,0,305.9715,-6.7732,-2.9833,-8.5594,102.5818,0.0672,9.5301,0.1049,3.5908,0.6765,1.3355,13.6573,2.9034,96.502,2.46312
mol_24,CCOc1cc(C=O)ccc1OCCOc1ccc(Br)cc1,0.1221,0.0281,0.0823,0.1887,0.1355,78.9014,0.2353,-0.004,1.95,5.162,0.012,1.065,22.206,0.0213,18.4869,2,16.1319,9.2671,-9.2289,0.0382,7.4924,0.7642,3.9054,0,572.3718,-9.145,-1.9079,-9.2051,223.5541,0.2874,6.7282,0.1486,4.1283,1.2665,0.9965,10.8948,6.6415,67.842,4.1181
mol_25,CCOC(=O)c1oc2ccc(Br)cc2c1C,0.1271,0.0365,0.1323,0.2864,0.2087,78.4514,0.2369,-0.004,1.951,5.183,0.014,1.078,22.198,0.0316,18.5536,2,16.0786,9.1995,-9.497,-0.2975,8.381,0.746,2.8832,0,436.1418,-8.4015,-1.8399,-9.46,161.5756,0.1893,7.635,0.131,4.5635,1.3638,0.9113,12.4015,5.6589,73.2216,3.68042
mol_26,CCOc1c(Br)cc(C(=O)OC)cc1OC,0.1677,0.173,0.1102,0.178,0.1441,69.8212,0.2751,-0.004,1.948,5.167,0.025,1.113,22.148,0.0279,19.8977,1.9999,15.8792,9.5878,-9.0458,0.542,8.0037,0.1536,5.6153,0,453.6614,-9.3068,-1.9729,-9.0514,161.0991,0.1723,7.8501,0.1274,4.0787,1.0596,1.0755,12.1897,4.672,76.7847,2.643
mol_27,O=Cc1cn(-c2ccccc2)nc1-c1cccc(Br)c1,0.1246,0.024,0.0844,0.2367,0.1605,78.7514,0.2356,-0.004,1.951,5.167,0.009,1.069,22.217,0.0355,18.9691,2,16.1191,8.8806,-9.0312,-0.1506,7.8385,0.8703,5.2124,0,491.6039,-8.4492,-1.2432,-9.3215,207.369,0.3176,6.9682,0.1435,4.3544,1.3605,0.9374,11.6177,6.5737,69.8991,4.1143
mol_28,NNC(=O)COc1cccc(Br)c1,0.1287,0.0242,0.104,0.1655,0.1352,78.7914,0.2362,-0.004,1.95,5.184,0.042,1.076,22.193,0.016,18.4321,1.9998,16.11,10.5094,-9.3023,1.2071,8.1277,-0.5758,5.0941,0,395.4107,-15.3002,-4.2286,-8.8013,134.7545,0.0858,8.7035,0.1149,3.776,0.8191,1.2285,12.4105,4.402,99.0221,0.8178
mol_29,CCOc1ccc(NS(=O)(=O)c2ccc(OC)c(N)c2)cc1Br,0.1546,0.147,0.0779,0.1024,0.0906,72.0912,0.2687,-0.004,1.947,5.152,0.03,1.094,22.165,0.0164,19.8771,1.9991,16.0793,8.8866,-8.7101,0.1765,7.1553,-0.1305,7.7879,0,581.7201,-22.4727,-5.7,-8.4493,242.2116,0.1808,7.2858,0.1373,3.5124,0.8466,1.2805,10.736,5.5213,82.8048,3.2394
mol_30,Cc1ccc(F)cc1Br,0.1452,0.0567,0.1478,0.2292,0.1881,68.8912,0.2738,-0.004,1.951,5.185,0.058,1.078,22.189,0.0194,18.8306,2,16.0894,10.7189,-9.658,1.0609,8.9788,-0.7343,1.7616,0,299.2118,-3.7519,-1.233,-9.0856,98.5104,0.0669,9.7131,0.103,4.1223,0.8748,1.1318,14.2959,3.1164,98.6928,2.89662
mol_31,CC(=O)c1ccc(F)c(Br)c1,0.1695,0.0769,0.1718,0.3795,0.2764,75.3713,0.2561,-0.004,1.949,5.166,0.02,1.059,22.126,0.0407,18.4523,2,16.1607,10.108,-10.1788,-0.0708,8.9795,0.7373,3.6152,0,333.8807,-7.5677,-1.8109,-9.8178,112.0194,0.2026,8.2422,0.1213,4.8584,1.4319,0.8609,14.0342,4.9195,72.6838,2.7908
mol_32,Cn1nc(Br)c(=O)n(C)c1=O,0.2314,0.1025,0.2559,0.3696,0.3128,77.4513,0.2515,-0.004,1.944,5.172,0.046,1.124,22.039,0.0431,18.4518,2,16.0228,8.82,-9.6928,-0.8728,9.2456,0.8063,1.7463,0,327.1198,-8.9328,-2.2275,-10.0541,105.8788,0.2187,8.4393,0.1185,5.0259,1.4966,0.8287,14.1986,4.4327,69.9919,-0.7585
mol_33,Nc1cc(Br)cc(C(F)(F)F)c1,0.1326,0.0256,0.1447,0.2364,0.191,78.5314,0.237,-0.004,1.95,5.193,0.038,1.083,22.171,0.0181,18.4561,1.9995,16.0984,9.9712,-9.0122,0.959,8.8281,-0.3922,4.2171,0,341.0999,-9.6177,-3.6159,-9.1499,110.8583,0.0962,9.2203,0.1085,4.2179,0.9648,1.0835,14.248,3.5874,90.6009,3.0501
mol_34,CCOc1c(Br)cc(C(=O)NN)cc1OC,0.1649,0.1692,0.1017,0.1391,0.1204,69.8212,0.2749,-0.004,1.948,5.166,0.03,1.111,22.151,0.0214,19.9437,2,16.0566,9.6833,-8.9415,0.7418,7.7485,-0.0958,5.9384,0,449.8408,-15.1883,-4.1965,-8.8788,162.802,0.1689,7.8443,0.1275,3.8264,0.9332,1.171,11.8204,4.5069,78.7628,1.4599
mol_35,Cc1cc(Br)cc(C)c1N,0.1027,0.0238,0.0727,0.1205,0.0966,78.8614,0.2348,-0.004,1.952,5.206,0.038,1.062,22.25,0.0129,18.4838,1.9991,16.1363,9.9937,-8.4597,1.534,7.5867,-1.5059,3.6163,0,333.2827,-7.0898,-1.8409,-7.9891,118.5782,0.0794,9.0926,0.11,3.0404,0.5083,1.6102,12.6722,2.83,91.8566,2.64814
mol_36,CCCOc1c(Br)cc(C=O)cc1OC,0.1721,0.179,0.1277,0.2002,0.1645,63.8611,0.2906,-0.003,1.948,5.165,0.023,1.112,22.148,0.034,20.5127,1.9966,15.8784,9.0751,-9.1044,-0.0293,8.1134,0.5221,6.1041,0,430.1512,-7.1636,-1.3827,-9.3895,156.4712,0.2635,7.5913,0.1317,4.3178,1.2279,0.9825,12.2397,4.8426,66.4116,3.059
mol_37,NC(=O)c1cc(F)ccc1Br,0.1695,0.1502,0.1422,0.3016,0.2225,67.2112,0.297,-0.004,1.949,5.161,0.029,1.076,22.137,0.033,19.4412,1.994,16.107,10.2021,-9.7607,0.4414,8.9453,0.0756,3.927,0,324.4198,-11.7651,-4.3768,-9.4039,109.5549,0.1292,8.8697,0.1127,4.5104,1.1468,0.9798,14.1211,4.2772,87.9786,1.6871
mol_38,COc1ccc(Br)cc1F,0.1301,0.0266,0.1268,0.2113,0.1691,78.8414,0.2359,-0.004,1.95,5.195,0.044,1.07,22.181,0.0183,18.2314,2,16.1263,10.3327,-9.2071,1.1256,8.5636,-0.7719,3.0132,0,320.6115,-5.1394,-1.3265,-8.9235,103.6418,0.0767,9.3355,0.1071,3.8958,0.8129,1.2027,13.6638,3.1758,93.5324,2.5968
mol_39,CC(=O)N(c1cccc(C(F)(F)F)c1)c1nc(C=O)c(Br)s1,0.207,0.0716,0.1965,0.2967,0.2466,69.9512,0.2918,-0.004,1.941,5.092,0.056,1.132,22.033,0.0492,20.1205,1.9995,14.9309,8.5423,-8.8514,-0.3091,8.5554,1.6012,7.7801,0,511.0278,-12.7369,-2.8266,-9.9098,205.06,0.3927,6.9542,0.1438,5.0783,1.8542,0.7483,12.5849,7.2462,62.6182,4.4215
mol_40,O=Cc1cc(Br)ccc1OC(F)F,0.1523,0.0386,0.2122,0.4672,0.3388,78.6714,0.2362,-0.004,1.95,5.181,0.017,1.074,22.139,0.0475,18.4352,1.9984,16.1208,9.7401,-10.3966,-0.6565,9.3957,1.3307,3.694,0,355.2294,-5.7888,-1.8388,-10.3628,119.2925,0.2415,8.065,0.124,5.3632,1.7833,0.7405,14.1858,5.4384,67.8026,2.863
mol_41,CC(Oc1cccc(Br)c1)C(=O)NN,0.1293,0.0252,0.1085,0.1549,0.1317,78.7414,0.2361,-0.004,1.95,5.183,0.043,1.074,22.196,0.0141,18.5322,1.9999,16.1131,10.6126,-9.5316,1.081,8.0773,-0.526,1.8796,0,411.701,-12.0377,-4.0666,-8.7934,146.0833,0.0959,8.6033,0.1162,3.7756,0.8285,1.2247,12.3514,4.4787,98.3537,1.2063
mol_42,CCOc1cc(C#N)cc(Br)c1O,0.1712,0.0794,0.1268,0.1738,0.1508,72.4312,0.2582,-0.004,1.952,5.177,0.026,1.066,22.201,0.0152,18.9408,2,15.0451,9.673,-9.0963,0.5767,8.4812,0.0864,3.29,0,387.421,-9.855,-3.3004,-9.288,132.2278,0.1349,8.3948,0.1191,4.2838,1.093,1.0304,12.9326,4.4203,80.0473,2.42508
mol_43,C=Cc1ccc(Br)cc1,0.1258,0.0238,0.1427,0.2656,0.2041,78.8614,0.2353,-0.004,1.951,5.192,0.041,1.063,22.214,0.026,18.2744,2,16.1281,9.6285,-9.2734,0.3551,8.3812,-0.1547,1.4788,0,313.4238,-2.7578,-0.5755,-9.0188,109.0944,0.1181,8.5359,0.1172,4.1132,0.991,1.0936,13.5732,4.1833,78.5644,3.0921
mol_44,Nc1cc(S(=O)(=O)N2CCOCC2)ccc1Oc1cccc(Br)c1,0.1335,0.033,0.0917,0.0866,0.0887,78.5314,0.2363,-0.004,1.95,5.164,0.02,1.075,22.197,0.0129,19.5579,1.999,16.1058,9.1141,-9.1919,-0.0778,7.3584,0.2242,5.9333,0,570.6901,-22.2378,-5.103,-8.7018,248.5464,0.2092,7.1342,0.1402,3.7913,1.0074,1.1477,10.8538,5.807,81.0471,2.8445
mol_45,OCc1cc(Br)cc(CO)c1O,0.1186,0.0304,0.0952,0.1632,0.1289,78.8414,0.2356,-0.004,1.951,5.202,0.03,1.069,22.212,0.0158,18.5883,2,16.1274,10.4737,-9.1975,1.2762,8.1481,-0.9921,4.8567,0,358.4892,-15.3469,-9.6789,-8.5931,123.7051,0.0777,9.1402,0.1094,3.578,0.7003,1.3295,12.789,3.2603,94.3686,1.1393
mol_46,Brc1ccc(-c2csc(NCC3CCCO3)n2)cc1,0.1136,0.0176,0.1062,0.1376,0.1219,78.7514,0.2353,-0.004,1.951,5.188,0.037,1.065,22.218,0.0188,18.4629,1.9997,16.1244,9.0798,-8.1097,0.9701,7.1696,0.0713,5.7287,0,513.7327,-7.519,-2.0215,-8.5765,208.7283,0.216,7.0983,0.1409,3.6204,0.9233,1.2194,10.8693,5.2302,67.5184,4.1635
mol_47,Cc1cn2nc(Br)sc2n1,0.2129,0.0302,0.2227,0.2094,0.2154,82.2214,0.2333,-0.004,1.941,5.159,0.095,1.163,22.029,0.0166,18.3707,2,16.0162,8.7371,-8.5139,0.2232,8.645,0.3122,2.0401,0,322.3819,-4.144,-0.729,-9.4693,113.2674,0.1809,8.3328,0.12,4.4786,1.2035,0.9676,13.5023,4.4222,79.5819,1.86172
mol_48,CC1(c2cccc(Br)c2)NC(=O)NC1=O,0.1355,0.0333,0.1173,0.2606,0.1895,78.6914,0.2358,-0.004,1.951,5.176,0.024,1.07,22.191,0.0236,18.8625,1.9995,16.1163,10.5964,-9.982,0.6144,8.686,0.1106,3.1766,0,397.5592,-13.4024,-4.7481,-9.2444,149.7447,0.1043,8.5754,0.1166,4.3983,1.1279,1.0018,13.1383,5.1094,94.5079,1.5037
mol_49,Cc1cccc(Br)c1C,0.1312,0.0617,0.1054,0.1742,0.1398,68.3112,0.275,-0.004,1.952,5.193,0.048,1.076,22.236,0.0164,19.0213,2,16.0856,10.9347,-9.6829,1.2518,8.5164,-1.1998,1.7322,0,310.9429,-2.9186,-0.699,-8.5738,109.5635,0.0611,9.7162,0.1029,3.6583,0.6887,1.311,13.5696,2.9016,101.4627,3.06594
mol_50,NS(=O)(=O)c1ccc(Br)s1,0.1669,0.0629,0.2043,0.3314,0.2685,80.6714,0.2383,-0.004,1.944,5.164,0.071,1.136,22.083,0.0235,18.8055,2,16.5867,10.8904,-10.313,0.5774,9.1794,0.4077,6.9138,0,332.1886,-19.0914,-5.5013,-9.7218,123.5911,0.1129,8.7717,0.114,4.7935,1.3098,0.8985,14.0707,4.5619,83.58,1.158
